fold,dataset,r2,rmse,rpd
0,lucas,0.849,29.578,2.575
1,lucas,0.842,30.572,2.514
2,lucas,0.851,29.394,2.594
3,lucas,0.828,31.769,2.413
4,lucas,0.829,31.875,2.421
5,lucas,0.833,31.244,2.449
6,lucas,0.806,33.978,2.27
7,lucas,0.848,30.035,2.563
8,lucas,0.849,29.601,2.577
9,lucas,0.823,32.274,2.378
10,lucas,0.813,33.414,2.311
11,lucas,0.843,30.401,2.527
12,lucas,0.832,31.32,2.437
13,lucas,0.836,31.034,2.47
14,lucas,0.845,29.919,2.544
15,lucas,0.836,31.119,2.466
16,lucas,0.837,31.048,2.476
17,lucas,0.834,31.332,2.456
18,lucas,0.845,30.289,2.537
19,lucas,0.843,30.314,2.527
